Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
uc1.b4178829,allow,public domain,21984,,University of California,GLAD100725071-B,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bibliographically-derived by automatic processes,6/29/2009 22:30,1,1973,District of Columbia,English,Book
uiug.30112007325282,allow,public domain,21984,,University of Illinois,2593897,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bibliographically-derived by automatic processes,4/4/2012 19:33,1,1973,District of Columbia,English,Book
uiug.30112008646827,allow,public domain,28856,,University of Illinois,1259845,1273171,,,74600117,"Pioneer odyssey : encounter with a giant / by Richard O. Fimmel, William Swindell, and Eric Burgess, prepared at Ames Research Center.","Scientific and Technical Information Division, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,4/12/2012 4:30,1,1974,District of Columbia,English,Book
mdp.39015049076220,allow,public domain,33608,,University of Michigan,33608,1311052,,,73600151,Mars as viewed by Mariner 9 : a pictorial presentation by the Mariner 9 television team and the planetology program principal investigators.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,2/20/2010 22:30,1,1974,District of Columbia,English,Book
mdp.39015017189864,allow,public domain,36717,,University of Michigan,36717,3627556,,,77601893,The Viking mission to Mars / William R. Corliss.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1975 i.e. 1976.",bibliographically-derived by automatic processes,2/21/2010 21:30,1,1976,District of Columbia,English,Book
uiug.30112104078404,allow,public domain,39463,,University of Illinois,1231641,1160757,,,74600024,"Atlas of Surveyor 5 television data / by Raymond M. Batson, Raymond Jordan, and Kathleen B. Larson.","Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bibliographically-derived by automatic processes,4/12/2012 4:30,1,1974,District of Columbia,English,Book
mdp.39015019041519,deny,in-copyright,46353,ser.2 v.16-18 1951-1954,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1954,France,French,Serial
mdp.39015019041444,deny,in-copyright,46353,ser.2 v.19-21 1955-1957,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1957,France,French,Serial
mdp.39015019041196,deny,in-copyright,46353,ser.2 v.22-23 1958-1961,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1961,France,French,Serial
mdp.39015019041188,deny,in-copyright,46353,ser.2 v.24 1963-1965,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1965,France,French,Serial
mdp.39015019041170,deny,in-copyright,46353,ser.2 v.25 1965,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/2/2010 20:30,0,1965,France,French,Serial
mdp.39015019041162,deny,in-copyright,46353,ser.3 v.1 1966,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2010 20:30,0,1966,France,French,Serial
mdp.39015019041154,deny,in-copyright,46353,ser.3 v.2 1967,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2010 20:30,0,1967,France,French,Serial
mdp.39015019041113,deny,in-copyright,46353,ser.3 v.3 1968,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/21/2010 19:31,0,1968,France,French,Serial
mdp.39015035064289,allow,public domain only when viewed in the US,46353,v.17 1900,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1900,France,French,Serial
mdp.39015024258181,allow,public domain only when viewed in the US,46353,v.25 1908,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/2/2012 19:30,0,1908,France,French,Serial
mdp.39015036744574,allow,public domain only when viewed in the US,46353,v.32 1915,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/2/2012 19:30,0,1915,France,French,Serial
mdp.39015050938276,allow,public domain only when viewed in the US,46353,v.35 1918,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:32,0,1918,France,French,Serial
mdp.39015050938524,allow,public domain only when viewed in the US,46353,v.23 1906,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/23/2012 19:30,0,1906,France,French,Serial
mdp.39015058503411,allow,public domain only when viewed in the US,46353,v.8 1891,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1891,France,French,Serial
mdp.39015059829898,allow,public domain only when viewed in the US,46353,v.19 1902,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/1/2013 19:25,0,1902,France,French,Serial
mdp.39015068001877,allow,public domain only when viewed in the US,46353,v.18 1901,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1901,France,French,Serial
mdp.39015068001885,allow,public domain only when viewed in the US,46353,v.20 1903,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/25/2011 19:30,0,1903,France,French,Serial
mdp.39015068131864,allow,public domain only when viewed in the US,46353,v.1 1884,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/8/2012 19:31,0,1884,France,French,Serial
mdp.39015068131690,allow,public domain only when viewed in the US,46353,v.2 1885,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1885,France,French,Serial
mdp.39015068131682,allow,public domain only when viewed in the US,46353,v.3 1886,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,7/17/2009 22:30,0,1886,France,French,Serial
mdp.39015068131849,allow,public domain only when viewed in the US,46353,v.4 1887,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,6/25/2009 23:30,0,1887,France,French,Serial
mdp.39015068131674,allow,public domain only when viewed in the US,46353,v.5 1888,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,7/31/2011 16:30,0,1888,France,French,Serial
mdp.39015068131831,allow,public domain only when viewed in the US,46353,v.6 1889,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1889,France,French,Serial
mdp.39015068131997,allow,public domain only when viewed in the US,46353,v.7 1890,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,12/25/2009 21:30,0,1890,France,French,Serial
mdp.39015068131666,allow,public domain only when viewed in the US,46353,v.9 1892,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1892,France,French,Serial
mdp.39015068131823,allow,public domain only when viewed in the US,46353,v.10 1893,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1893,France,French,Serial
mdp.39015068131989,allow,public domain only when viewed in the US,46353,v.11 1894,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/9/2012 19:30,0,1894,France,French,Serial
mdp.39015068131658,allow,public domain only when viewed in the US,46353,v.12 1895,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1895,France,French,Serial
mdp.39015068131815,allow,public domain only when viewed in the US,46353,v.13 1896,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/3/2013 19:25,0,1896,France,French,Serial
mdp.39015068131971,allow,public domain only when viewed in the US,46353,v.14 1897,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1897,France,French,Serial
mdp.39015068131641,allow,public domain only when viewed in the US,46353,v.15 1898,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,9/8/2012 19:31,0,1898,France,French,Serial
mdp.39015068131807,allow,public domain only when viewed in the US,46353,v.16 1899,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,4/27/2013 19:25,0,1899,France,French,Serial
mdp.39015073148242,allow,public domain only when viewed in the US,46353,v.21 1904,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,12/3/2012 19:32,0,1904,France,French,Serial
mdp.39015073148234,allow,public domain only when viewed in the US,46353,v.22 1905,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,11/4/2012 19:30,0,1905,France,French,Serial
mdp.39015073148226,allow,public domain only when viewed in the US,46353,v.24 1907,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,3/9/2009 22:30,0,1907,France,French,Serial
mdp.39015073148218,allow,public domain only when viewed in the US,46353,v.26 1909,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,5/13/2010 16:34,0,1909,France,French,Serial
mdp.39015073148200,allow,public domain only when viewed in the US,46353,v.27 1910,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/28/2012 19:30,0,1910,France,French,Serial
mdp.39015073148192,allow,public domain only when viewed in the US,46353,v.28 1911,University of Michigan,46353,1537689,,0245-9787,5019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bibliographically-derived by automatic processes,8/28/2012 19:30,0,1911,France,French,Serial
