Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
uc1.b4178829,allow,pd,000021984,,UC,GLAD100725071-B,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bib,2009-06-29 22:30:18,1,1973,dcu,eng,BK
uiug.30112007325282,allow,pd,000021984,,UIU,2593897,1229335,,,72600319,"Evolutionary and physical properties of meteoroids; the proceedings of the International Astronomical Union's colloquium # 13, held at the State University of New York, Albany, N.Y., on June 14-17, 1971. Edited by Curtis L. Hemenway, Peter M. Millman [and] Allan F. Cook.","Scientific and Technical Information Office, National Aeronautics and Space Administration; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1973.",bib,2012-04-04 19:33:05,1,1973,dcu,eng,BK
uiug.30112008646827,allow,pd,000028856,,UIU,1259845,1273171,,,74600117,"Pioneer odyssey : encounter with a giant / by Richard O. Fimmel, William Swindell, and Eric Burgess, prepared at Ames Research Center.","Scientific and Technical Information Division, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bib,2012-04-12 04:30:05,1,1974,dcu,eng,BK
mdp.39015049076220,allow,pd,000033608,,MiU,000033608,1311052,,,73600151,Mars as viewed by Mariner 9 : a pictorial presentation by the Mariner 9 television team and the planetology program principal investigators.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bib,2010-02-20 22:30:03,1,1974,dcu,eng,BK
mdp.39015017189864,allow,pd,000036717,,MiU,000036717,3627556,,,77601893,The Viking mission to Mars / William R. Corliss.,"Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1975 i.e. 1976.",bib,2010-02-21 21:30:01,1,1976,dcu,eng,BK
uiug.30112104078404,allow,pd,000039463,,UIU,1231641,1160757,,,74600024,"Atlas of Surveyor 5 television data / by Raymond M. Batson, Raymond Jordan, and Kathleen B. Larson.","Scientific and Technical Information Office, National Aeronautics and Space Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off., 1974.",bib,2012-04-12 04:30:10,1,1974,dcu,eng,BK
mdp.39015019041519,deny,ic,000046353,ser.2 v.16-18 1951-1954,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-02 20:30:53,0,1954,fr ,fre,SE
mdp.39015019041444,deny,ic,000046353,ser.2 v.19-21 1955-1957,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-02 20:30:36,0,1957,fr ,fre,SE
mdp.39015019041196,deny,ic,000046353,ser.2 v.22-23 1958-1961,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-02 20:30:44,0,1961,fr ,fre,SE
mdp.39015019041188,deny,ic,000046353,ser.2 v.24 1963-1965,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-02 20:30:59,0,1965,fr ,fre,SE
mdp.39015019041170,deny,ic,000046353,ser.2 v.25 1965,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-02 20:30:44,0,1965,fr ,fre,SE
mdp.39015019041162,deny,ic,000046353,ser.3 v.1 1966,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-01 20:30:33,0,1966,fr ,fre,SE
mdp.39015019041154,deny,ic,000046353,ser.3 v.2 1967,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-01 20:30:45,0,1967,fr ,fre,SE
mdp.39015019041113,deny,ic,000046353,ser.3 v.3 1968,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-04-21 19:31:12,0,1968,fr ,fre,SE
mdp.39015035064289,allow,pdus,000046353,v.17 1900,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2013-04-27 19:25:10,0,1900,fr ,fre,SE
mdp.39015024258181,allow,pdus,000046353,v.25 1908,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2012-08-02 19:30:17,0,1908,fr ,fre,SE
mdp.39015036744574,allow,pdus,000046353,v.32 1915,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2012-08-02 19:30:22,0,1915,fr ,fre,SE
mdp.39015050938276,allow,pdus,000046353,v.35 1918,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2010-05-13 16:32:46,0,1918,fr ,fre,SE
mdp.39015050938524,allow,pdus,000046353,v.23 1906,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2012-08-23 19:30:35,0,1906,fr ,fre,SE
mdp.39015058503411,allow,pdus,000046353,v.8 1891,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2012-09-09 19:30:30,0,1891,fr ,fre,SE
mdp.39015059829898,allow,pdus,000046353,v.19 1902,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2013-04-01 19:25:18,0,1902,fr ,fre,SE
mdp.39015068001877,allow,pdus,000046353,v.18 1901,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2013-04-27 19:25:16,0,1901,fr ,fre,SE
mdp.39015068001885,allow,pdus,000046353,v.20 1903,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2011-08-25 19:30:16,0,1903,fr ,fre,SE
mdp.39015068131864,allow,pdus,000046353,v.1 1884,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2012-09-08 19:31:30,0,1884,fr ,fre,SE
mdp.39015068131690,allow,pdus,000046353,v.2 1885,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2013-04-27 19:25:17,0,1885,fr ,fre,SE
mdp.39015068131682,allow,pdus,000046353,v.3 1886,MiU,000046353,1537689,,0245-9787,05019734,Bulletin astronomique.,Centre national de la recherche scientifique [etc.],bib,2009-07-17 22:30:04,0,1886,fr ,fre,SE
